Designator,Mid X,Mid Y,Rotation,Layer
B1,112.73,-121.95,0.0,top
B2,144.76,-122.0,0.0,top
D1,98.11,-196.98,90.0,top
D10,136.36,-184.48,90.0,top
D11,136.11,-167.88,90.0,top
D12,123.36,-134.63,90.0,top
D13,158.36,-192.38,90.0,top
D14,157.11,-174.13,90.0,top
D15,155.61,-154.38,90.0,top
D16,180.86,-180.88,90.0,top
D17,177.36,-162.38,90.0,top
D18,174.61,-143.63,90.0,top
D19,194.754,-150.724,90.0,top
D2,98.11,-175.73,90.0,top
D20,171.25,-50.25,270.0,bottom
D21,171.25,-68.9,270.0,bottom
D22,171.25,-88.65,270.0,bottom
D23,186.5,-122.15,270.0,bottom
D24,152.5,-45.65,270.0,bottom
D25,152.25,-64.4,270.0,bottom
D26,152.5,-83.9,270.0,bottom
D27,167.0,-112.4,270.0,bottom
D28,133.25,-40.75,270.0,bottom
D29,133.25,-59.9,270.0,bottom
D3,98.11,-156.23,90.0,top
D30,133.25,-78.15,270.0,bottom
D31,146.25,-107.9,270.0,bottom
D32,111.5,-50.15,270.0,bottom
D33,112.75,-70.75,270.0,bottom
D34,114.25,-89.0,270.0,bottom
D35,87.25,-60.6,270.0,bottom
D36,90.75,-80.5,270.0,bottom
D37,93.5,-99.25,270.0,bottom
D38,72.75,-91.9,270.0,bottom
D4,82.11,-128.13,90.0,top
D5,117.36,-200.23,90.0,top
D6,117.36,-179.23,90.0,top
D7,117.61,-160.73,90.0,top
D8,102.61,-133.88,90.0,top
D9,136.11,-202.98,90.0,top
J1,150.86,-133.88,180.0,bottom
J2,155.11,-139.88,180.0,bottom
J3,105.75,-114.25,0.0,bottom
J4,103.25,-103.75,0.0,bottom
R1,136.36,-134.88,90.0,bottom
R2,138.36,-132.63,90.0,bottom
R3,120.5,-109.0,270.0,top
R4,123.0,-112.0,270.0,top
SW1,92.31,-193.37375,180.0,top
SW10,130.454,-184.61275,180.0,top
SW11,130.434,-165.56275,180.0,top
SW12,117.162996,-135.46,180.0,top
SW13,152.784554,-192.908563,184.0,top
SW14,151.453862,-173.878782,184.0,top
SW15,150.125,-154.875187,184.0,top
SW16,175.269635,-181.465383,190.0,top
SW17,171.961637,-162.704795,190.0,top
SW18,168.653639,-143.944207,190.0,top
SW19,189.375726,-151.205577,190.0,top
SW2,92.31,-174.38625,180.0,top
SW20,162.6100006796726,-132.5928856294739,170.0,bottom
SW21,165.5,-51.0,0.0,bottom
SW22,165.5,-70.0,0.0,bottom
SW23,165.5,-89.0,0.0,bottom
SW24,181.625202,-119.866609,30.0,bottom
SW25,146.5,-46.0,0.0,bottom
SW26,146.5,-65.0,0.0,bottom
SW27,146.5,-84.0,0.0,bottom
SW28,161.949802,-111.723997,15.0,bottom
SW29,127.4125,-41.0,0.0,bottom
SW3,92.31,-155.33625,180.0,top
SW30,127.5,-60.0,0.0,bottom
SW31,127.5,-79.0,0.0,bottom
SW32,140.733279,-108.875045,0.0,bottom
SW33,105.158488,-51.77994,356.0,bottom
SW34,106.483861,-70.733657,356.0,bottom
SW35,107.809234,-89.687374,356.0,bottom
SW36,81.303854,-62.762491,350.0,bottom
SW37,84.646581,-81.72004,350.0,bottom
SW38,87.937214,-100.382147,350.0,bottom
SW39,67.211428,-93.120826,350.0,bottom
SW4,76.009919,-124.303773,150.0,top
SW40,94.71228849397558,-111.71195735533387,350.0,bottom
SW5,111.40375,-198.37425,180.0,top
SW6,111.51,-179.3805,180.0,top
SW7,111.51,-160.393,180.0,top
SW8,95.86,-132.63,165.0,top
SW9,130.454,-203.374,180.0,top
U1,136.8325,-135.6642,0.0,top
U2,120.6675,-108.7158,180.0,bottom
